"Source:","/home/gustavo/SM13/Esquema/principal_sm13.sch"
"Date:","jue 20 ago 2020 00:38:13 -03"
"Tool:","Eeschema 5.1.6-c6e7f7d~86~ubuntu16.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","66"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Field4","Field5","Field6","Field7"
"9","1","J1","RESOLVER ARM","Connector_Generic:Conn_01x10","Connector_Molex:Molex_KK-254_AE-6410-10A_1x10_P2.54mm_Vertical","~","","","",""
"10","1","J2","RESOLVER POLE","Connector_Generic:Conn_01x10","Connector_Molex:Molex_KK-254_AE-6410-10A_1x10_P2.54mm_Vertical","~","","","",""
"11","1","P12","CONN_10X2","conn_10x2:CONN_10X2","Connector_PinSocket_2.54mm:PinSocket_2x10_P2.54mm_Vertical","","","","",""
"12","1","P14","SPI","conn_3x2:CONN_3X2","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical","","","","",""
"13","4","Q1, Q2, Q3, Q4","BC807","Transistor_BJT:BC807","Package_TO_SOT_SMD:SOT-23","http://www.fairchildsemi.com/ds/BC/BC807.pdf","","","",""
"14","4","R1, R11, R12, R21","12K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"15","4","R2, R3, R13, R14","120","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"16","2","R4, R15","22K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"17","7","R5, R8, R9, R10, R16, R19, R20","10K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"18","4","R6, R7, R17, R18","1K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"19","1","R30","560","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"20","2","U1, U2","AD8397ARZ","AD8397ARZ:AD8397ARZ","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","Analog Devices","AD8397ARZ","1078284","19M1201","SOIC-8"
"21","2","X1, X2","8.192MHz","Device:Crystal","Crystal:Crystal_SMD_HC49-SD_HandSoldering","~","","","",""
